GVOG	num_proteins_in_GVOG	Mean_Length	consensus_NCVOG	NCVOG_descs	consensus_NOGs	nog_descs	nog_categories	consensus_pfams	pfam_descs
GVOGm0043	692	399	NCVOG0059	FtsJ-like methyltransferase	KOG1786 | KOG1098 | KOG1099 | KOG3674 | KOG3673 | KOG4190 | 2S5H8 | arCOG00079	aggrephagy | Belongs to the class I-like SAM-binding methyltransferase superfamily. RNA methyltransferase RlmE family. SPB1 subfamily | tRNA methyltransferase activity | cap2 mRNA methylation | cap1 mRNA methylation | WD repeat-containing protein 81 | FtsJ-like methyltransferase | Specifically methylates the uridine in position 2552 of 23S rRNA at the 2'-O position of the ribose in the fully assembled 50S ribosomal subunit	S | L | G | T | I | J	PF01728	NADP_Rossmann; FtsJ; FtsJ-like methyltransferase
GVOGm1030	691	124	NCVOG4128	DNA-directed RNA polymerase, subunit M/ Transcription elongation factor TFIIS	KOG2691	maintenance of transcriptional fidelity during DNA-templated transcription elongation from RNA polymerase II promoter	K	no_annot	no_annote
GVOGm0451	682	262	NCVOG2618	DNA repair nuclease	arCOG00872 | KOG2379 | arCOG04206 | COG1948	DEAD DEAH box helicase domain protein | 3'-flap endonuclease activity | ERCC4 domain protein | resolution of meiotic recombination intermediates	L	PF02732	PDDEXK; ERCC4; ERCC4 domain
GVOGm0050	679	416	NCVOG4292	serine/threonine protein kinase	KOG0594	cyclin-dependent protein serine/threonine kinase activity	G	PF00069	PKinase; Pkinase; Protein kinase domain
GVOGm1445	673	559	NCVOG0061	asparagine synthase	arCOG00093 | arCOG00121 | KOG0573 | KOG0572 | arCOG00057 | COG0449 | arCOG00071 | COG0367 | KOG0571 | arCOG00035 | COG0034	Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine | COG0367 Asparagine synthase (glutamine-hydrolyzing) | asparagine synthase (glutamine-hydrolyzing) activity | amidophosphoribosyltransferase activity | Catalyzes the first step in hexosamine metabolism, converting fructose-6P into glucosamine-6P using glutamine as a nitrogen source | glutamine-fructose-6-phosphate transaminase (isomerizing) activity | Asparagine synthase | asparagine synthase | L-asparagine biosynthetic process | ATP binding protein | Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine	E | M | F	PF13522 | PF00733 | PF13537	NTN; GATase_6; Glutamine amidotransferase domain | HUP; Asn_synthase; Asparagine synthase | NTN; GATase_7; Glutamine amidotransferase domain
GVOGm0569	671	230	NCVOG4130 | NCVOG0320 | NCVOG4200	putative deoxynucleoside kinase | Thymidylate kinase | deoxynucleoside kinase	KOG3877 | KOG4235 | COG1428 | arCOG01891 | 2SX5E	mitochondrial electron transport, NADH to ubiquinone | deoxycytidine kinase activity | Deoxynucleoside kinase | thymidylate kinase | Deoxynucleoside kinase	S | F	PF01712 | PF02223	P-loop_NTPase; dNK; Deoxynucleoside kinase | P-loop_NTPase; Thymidylate_kin; Thymidylate kinase
GVOGm0008	669	132	NCVOG0632	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0678	661	784	NCVOG0033	DNA topoisomerase I	2SXJ7 | arCOG01526 | COG0551 | arCOG00416 | arCOG05634 | COG4465 | COG1754 | arCOG01305 | KOG1956 | COG5531 | arCOG01527 | COG1110 | KOG1957 | COG0550 | arCOG05045	unknown | Modifies the topological state of DNA by introducing positive supercoils in an ATP-dependent process. It cleaves transiently a single DNA strand and remains covalently bound to the 5' DNA end through a tyrosine residue. May be involved in rewinding the DNA strands in the regions of the chromosome that have opened up to allow transcription or replication | DNA topoisomerase type I activity | Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone | DNA topoisomerase type I activity | DNA-binding protein that represses the expression of many genes that are induced as cells make the transition from rapid exponential growth to stationary phase. It is a GTP-binding protein that senses the intracellular GTP concentration as an indicator of nutritional limitations. At low GTP concentration it no longer binds GTP and stop to act as a transcriptional repressor | DNA topoisomerase type I activity | Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone | DNA topoisomerase type I activity | SWIB/MDM2 domain | Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone | DNA topoisomerase II activity | DNA topoisomerase type I activity | Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone | Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone	B | O | S | L | K	PF01131 | PF01751 | PF13368	; Topoisom_bac; DNA topoisomerase | Toprim-like; Toprim; Toprim domain | ; Toprim_C_rpt; Topoisomerase C-terminal repeat
GVOGm0153	658	476	NCVOG0575	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0205	655	418	NCVOG1088	RNA ligase (conserved in irido-, asfa- asco- and Marseille viruses)	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0007	655	330	NCVOG1060	FLAP-like endonuclease XPG	2SWDP | arCOG04050 | 2QQRA | KOG2519 | KOG2518 | KOG2520 | 2QVHA	unknown | Structure-specific nuclease with 5'-flap endonuclease and 5'-3' exonuclease activities involved in DNA replication and repair. During DNA replication, cleaves the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment. Binds the unpaired 3'-DNA end and kinks the DNA to facilitate 5' cleavage specificity. Cleaves one nucleotide into the double- stranded DNA from the junction in flap DNA, leaving a nick for ligation. Also involved in the base excision repair (BER) pathway. Acts as a genome stabilization factor that prevents flaps from equilibrating into | nuclease activity | endonuclease activity | 5'-3' exodeoxyribonuclease activity | nucleotide-excision repair, DNA incision, 3'-to lesion | endodeoxyribonuclease activity	S | L	PF00752 | PF00867	PIN; XPG_N; XPG N-terminal domain | 5_3_exonuc_C; XPG_I; XPG I-region
GVOGm0338	651	395	NCVOG2615	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0030	645	1880	NCVOG0218 | NCVOG4477	uncharacterized protein | uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0034	641	263	NCVOG1128	glycosyltransferase	2SX2G | 2S0TG | 2SJG8 | 2SNUI | COG3774 | 2S8XC | 2S4FC | 2RRC6 | 2SPIQ | 2SCMT | 2QW2I | 2S8M2 | 2T5QD | 2SB3V | 2SUX0 | 2SIMC | 2SPPM | 2SZCJ | 2RJ0F | 2R7TT | 2S433 | 2SUQT | 2QS3D | 2S7B8	Glycosyltransferase sugar-binding region containing DXD motif | Glycosyltransferase sugar-binding region containing DXD motif | Glycosyltransferase sugar-binding region containing DXD motif | Glycosyltransferase sugar-binding region containing DXD motif | pathogenesis | Glycosyltransferase sugar-binding region containing DXD motif | Glycosyltransferase sugar-binding region containing DXD motif | mannosyl-inositol phosphorylceramide biosynthetic process | Glycosyltransferase sugar-binding region containing DXD motif | Glycosyltransferase sugar-binding region containing DXD motif | glycolipid 6-alpha-mannosyltransferase activity | Glycosyltransferase sugar-binding region containing DXD motif | Glycosyltransferase sugar-binding region containing DXD motif | Glycosyltransferase sugar-binding region containing DXD motif | Glycosyltransferase sugar-binding region containing DXD motif | Glycosyltransferase sugar-binding region containing DXD motif | Glycosyltransferase sugar-binding region containing DXD motif | Glycosyltransferase sugar-binding region containing DXD motif | Glycosyltransferase sugar-binding region containing DXD motif | Glycosyltransferase sugar-binding region containing DXD motif | Glycosyltransferase sugar-binding region containing DXD motif | Glycosyltransferase sugar-binding region containing DXD motif | mannosyl-inositol phosphorylceramide biosynthetic process | Glycosyltransferase sugar-binding region containing DXD motif	M | S	PF04488	GT-A; Gly_transf_sug; Glycosyltransferase sugar-binding region containing DXD motif
GVOGm0454	639	311	NCVOG1136	bifunctional dihydrofolate reductase-thymidylate synthase	COG0207 | arCOG03214 | KOG0673 | KOG1324	Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by-product. This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis | Catalyzes the reductive methylation of 2'-deoxyuridine- 5'-monophosphate (dUMP) to 2'-deoxythymidine-5'-monophosphate (dTMP) while utilizing 5,10-methylenetetrahydrofolate (mTHF) as the methyl donor and reductant in the reaction, yielding dihydrofolate (DHF) as a by-product. This enzymatic reaction provides an intracellular de novo source of dTMP, an essential precursor for DNA biosynthesis | thymidylate synthase activity | dihydrofolate reductase activity	H | F	PF00303	; Thymidylat_synt; Thymidylate synthase
GVOG11238	633	228	NCVOG2652	ribonuclease	arCOG04121 | 2RS1D | COG1039 | COG0164 | KOG2299 | 2RKF4 | 2S4TJ | 2S84E	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids | Ribonuclease HII | Endonuclease that specifically degrades the RNA of RNA- DNA hybrids | Endonuclease that specifically degrades the RNA of RNA- DNA hybrids | RNA-DNA hybrid ribonuclease activity | DNA-directed DNA polymerase activity | Ribonuclease HII | Ribonuclease HII	L	PF01351	RNase_H; RNase_HII; Ribonuclease HII
GVOGm0302	621	308	NCVOG3081	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0828	620	78	NCVOG2129	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0429	616	579	NCVOG0044 | NCVOG0288 | NCVOG4161 | NCVOG0285 | NCVOG0287 | NCVOG0295	uncharacterized protein | Serine/Threonine protein kinase | uncharacterized protein | Serine/Threonine protein kinases | Serine/Threonine protein kinase | F10-like kinase	KOG2464 | 2SF4Y	histone kinase activity (H3-T3 specific) | unknown	D | J	no_annot	no_annote
GVOGm0204	611	321	NCVOG3043	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0232	592	204	NCVOG2170	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0389	592	103	NCVOG1016	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0116	581	359	NCVOG3050	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0250	581	587	NCVOG2626	putative DNA mismatch repair protein MutS	COG0249 | arCOG02896 | 2QUUG | KOG0218 | 2QRQR | KOG0217 | KOG0221 | arCOG02897 | KOG0220 | KOG0219	that it carries out the mismatch recognition step. This protein has a weak ATPase activity | This protein is involved in the repair of mismatches in DNA | mitochondrial DNA repair | Component of the post-replicative DNA mismatch repair system (MMR) | DNA mismatch repair protein | mismatched DNA binding | chiasma assembly | that it carries out the mismatch recognition step. This protein has a weak ATPase activity | chiasma assembly | negative regulation of reciprocal meiotic recombination	L	PF00488	P-loop_NTPase; MutS_V; MutS domain V
GVOGm0507	578	82	NCVOG3020 | NCVOG2128	uncharacterized protein | uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0006	567	473	NCVOG4259	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0480	559	295	NCVOG2638	putative link-domain-containing protein	2SVBI | 2RY70 | 2QRAR | 2QWFF | 2RX7Q | 2QRG1 | 2QVXC	Link (Hyaluronan-binding) | hyaluronic acid binding | hyaluronic acid binding | hyaluronic acid binding | macrophage fusion | hyaluronic acid binding | Link (Hyaluronan-binding)	M | S	PF00193	C_Lectin; Xlink; Extracellular link domain
GVOGm0413	548	222	NCVOG0047 | NCVOG4187	putative helicase/exonuclease | DEDDh 3'-5' exonuclease	COG0847 | COG2176 | arCOG05109 | 2SEQ8 | COG3530 | COG5018	DNA polymerase III is a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria. The epsilon subunit contain the editing function and is a proofreading 3'-5' exonuclease | DNA-directed DNA polymerase activity | PFAM Exonuclease, RNase T and DNA polymerase III | DNA-directed DNA polymerase activity | Putative quorum-sensing-regulated virulence factor | Exonuclease	L	PF00929	RNase_H; RNase_T; Exonuclease
GVOGm0137	545	109	NCVOG3070	uncharacterized protein	no_annot	no_annote	no_annote	no_annot	no_annote
GVOGm0905	541	313	NCVOG2628 | NCVOG1191	uncharacterized protein | SAM dependent methyltransferase	COG2226 | COG4976 | 2SPNS | 2SQD8 | COG2227 | arCOG01788 | arCOG04989 | 2SF8Y | arCOG01773 | COG2890 | 2S4CK | arCOG01779 | arCOG01791 | arCOG01787 | arCOG03526 | KOG1541 | 2RZIN | arCOG01783 | 2S0AA | 2SHJW | arCOG03570 | KOG1269 | arCOG01792 | 2SMXA | KOG3010 | KOG1270 | arCOG04347 | 2SAHW | 2SDNW | arCOG01775 | 2S71Z | arCOG02702 | arCOG03534 | COG2230 | COG0500 | 2SRY2 | arCOG01790 | arCOG01794 | arCOG03773 | 2SGZ9 | arCOG01774 | arCOG03529 | COG4106 | arCOG01782 | 2S1MZ | 2SPZZ | arCOG04340 | arCOG01778 | arCOG01781	methyltransferase | Methyltransferase | Methyltransferase domain | Methyltransferase domain | 3-demethylubiquinone-9 3-O-methyltransferase activity | PFAM methyltransferase | Methyltransferase type 11 | Methyltransferase domain | Methyltransferase type 11 | protein-(glutamine-N5) methyltransferase activity | ubiE/COQ5 methyltransferase family | Methylase involved in ubiquinone menaquinone biosynthesis | Methyltransferase | PFAM Methyltransferase type | ubiE/COQ5 methyltransferase family | rRNA (guanine-N7)-methylation | Methyltransferase domain | Methyltransferase type 11 | Methyltransferase domain | Methyltransferase domain | Methyltransferase type | sterol 24-C-methyltransferase activity | Methyltransferase type 11 | Methyltransferase domain | trans-aconitate 3-methyltransferase activity | hexaprenyldihydroxybenzoate methyltransferase activity | Methyltransferase type 11 | ubiE/COQ5 methyltransferase family | Methyltransferase domain | PFAM Methyltransferase type | Methyltransferase domain | Methyltransferase type 11 | Methyltransferase domain | cyclopropane-fatty-acyl-phospholipid synthase | methyltransferase | Methyltransferase domain | Methyltransferase | COG0500 SAM-dependent methyltransferases | PFAM Methyltransferase type 11 | ubiE/COQ5 methyltransferase family | PFAM Methyltransferase type 11 | Methyltransferase type 11 | trans-aconitate 2-methyltransferase activity | COG0500 SAM-dependent methyltransferases | juvenile hormone acid methyltransferase activity | Methyltransferase domain | PFAM Methyltransferase type | PFAM methyltransferase | COG0500 SAM-dependent methyltransferases	Q | M | S | FG | O | H | J | K	PF13847 | PF13649 | PF08242 | PF08241 | PF13489	NADP_Rossmann; Methyltransf_31; Methyltransferase domain | NADP_Rossmann; Methyltransf_25; Methyltransferase domain | NADP_Rossmann; Methyltransf_12; Methyltransferase domain | NADP_Rossmann; Methyltransf_11; Methyltransferase domain | NADP_Rossmann; Methyltransf_23; Methyltransferase domain
