pVOGs	Host Domain	Number of Sequences	Number of Genomes	Number of Virus Families	Number of Virus Genera	Protein Annotations	Mapping to POGs 2013
VOG0058	Bacteria	271	271	3	10	AAA domain protein; DNA replication protein; HNH nuclease; ORF046; P-Starvation inducible protein; P-starvation inducible protein; Phi92_gp060; PhoH; PhoH P-starvation inducible protein; PhoH domain containing protein; PhoH domain protein; PhoH family protein; PhoH family-like protein; PhoH phosphate starvation-inducible protein; PhoH protein; PhoH-like phosphate starvation inducible protein; PhoH-like phosphate starvation-inducible protein; PhoH-like protein; PhoH-like protein [Escherichia phage vB_EcoM_FFH2]; PhoH-related protein; Phr; gp162; gp2.62; hypothetical protein; nucleoside triphosphate hydrolase; phoH; phoH-like phosphate starvation-inducible protein; phoH-like protein; phoh family protein; phosphate starvation inducible protein; phosphate starvation-inducible PhoH-like protein; phosphate starvation-inducible phoH-like protein; phosphate starvation-inducible protein; phosphate starvation-inducible protein PhoH; phosphate starvation-inducible protein PhoH,predicted ATPase; phosphate starvation-inducible protein PhoH-like protein; phosphate-induced stress protein; phosphate-starvation inducible protein; phosphate-starvation-inducible protein PhoH/ATPase; putative ATPase; putative DNA replication protein DnaC; putative PhoH family protein; putative PhoH-like phosphate starvation-inducible protein; putative PhoH-like protein; putative PhoH-related protein; putative cytoplasmic PhoH protein; putative phosphate starvation inducible protein; putative phosphate starvation-induced phoH-like protein; putative phosphate starvation-induced protein; putative phosphate starvation-inducible protein PhoH; putative phosphate starvation-inducible protein PhoH/ATPase; putative phosphate-starvation inducible protein; putative phosphate-starvation-inducible protein; putative predicted product; putative regulatory protein; starvation inducible protein	Complete union of: POG0058; POG1011
VOG0061	Bacteria	84	84	1	2	Cps; Mcp; ORF016; capsid protein; capsid protein precursor; gp15; gp6.1; gp88; hypothetical protein; major capsid precursor; major capsid protein; major capsid protein precursor; major head protein; major structural protein; putative capsid protein; putative major capsid precursor; putative major capsid protein; putative major structural protein; putative predicted product	Complete union of: POG0061; POG0062
VOG0064	Bacteria	77	77	1	2	ORF032; gp17; gp19; gp6.3; gp88; gp90; hypothetical protein; putative predicted product; putative structural protein	Mapped to: POG0064
VOG0065	Bacteria	96	96	1	2	ORF034; Zn ribbon; capsid protein; conserved phage protein; gp18; gp20; gp6.4; gp89; gp91; hypothetical protein; putative predicted product; putative structural protein; structural protein; virion component	Mapped to: POG0065
VOG0066	Bacteria	79	79	1	2	ORF185; gp21; gp23; gp8.1; gp92; gp94; hypothetical protein; putative predicted product	Mapped to: POG0066
VOG0067	Bacteria	126	126	2	3	ORF011; Tsh; Tsp; gp115; gp120; gp122; gp123; gp124; gp125; gp126; gp127; gp128; gp129; gp130; gp131; gp132; gp178; gp22; gp9.1; gp95; hypothetical protein; major tail sheath; major tail sheath protein; putative major tail sheath protein; putative phage sheath tail protein; putative phage tail sheath protein; putative predicted product; putative structural phage tail sheath protein; putative tail protein; putative tail sheath protein; tail sheath; tail sheath protein; tail sheath protein precursor; tail sheath-like protein	Mapped to: POG0067
VOG0068	Bacteria	83	83	1	2	ORF106; TmpA; capsid protein; gp10.1; gp23; gp25; gp94; gp96; hypothetical protein; portal protein; putative predicted product; putative structural protein; putative tail protein; putative tail tube protein; structural protein; tail protein; tail tube; tail tube protein; tail tube subunit; truncated capsid protein	Mapped to: POG0068
VOG0069	Bacteria	81	80	1	2	ORF229; gp26; gp27; gp95; gp97; hypothetical protein; putative predicted product; putative tape measure chaperone protein; putative tapemeasure chaperone protein; tail assembly chaperone	Mapped to: POG0069
VOG0079	Bacteria	63	63	2	2	BmpC; ORF073; baseplate protein; gp105; gp107; gp16.1; gp36; hypothetical protein; putative predicted product; putative spore cortex-lytic hydrolase; putative structural protein; structural protein	Mapped to: POG0079
VOG0080	Bacteria	196	196	2	4	ORF003; TmpG; Virulence Associated protein; VlrC protein; VrlC; VrlC protein; VrlC virulence-associated protein-like protein; adsorption associated tail protein; adsorption-associated tail protein; baseplate wedge initiator; baseplate wedge tail fiber connector; conserved phage associated protein; gp106; gp108; gp14 neck protein; gp16.2; gp37; gp40; hypothetical protein; neck protein; phage structural protein; putative adsorbtion associated protein; putative adsorbtion tail protein; putative adsorption associated tail protein; putative neck protein; putative predicted product; putative structural protein; putative tail fiber; putative tail protein; structural protein; strucutural protein; tail associated protein; tail fiber protein; tail morphogenetic protein (siliadase domain), putative adsorption associated tail protein; tail protein; unknown structural protein; virion structural protein; virulence associated protein; virulence associated protein VrlC; virulence-associated VriC protein; vrlC protein	Complete union of: POG0080; POG4024
VOG0083	Bacteria	415	400	3	8	AAA domain ATPase; ATPase; ATPase containing protein; DNA repair exo subunit 2; DNA repair protein; Gp46 recombination endonuclease subunit; ORF009; Putative recombination endonuclease subunit; RecF recombinase protein; RecF/RecN/SMC N terminal domain protein; RncB; SbcC like protein; SbcC type exonuclease; chromosome segregation protein; chromosome segregation protein SMC; double-stranded DNA repair protein Rad50; endonuclease; endonuclease subunit; exonuclease; exonuclease I; exonuclease subunit 2; gp114; gp115; gp117; gp21.9; gp34; gp375; gp45; gp46; gp46 endonuclease subunit; gp46 recombination endonuclease; gp46 recombination endonuclease subunit; gp47; gp49; gp51; gp67; gpre46 combination endonuclease; hypothetical protein; nuclease; nucleoside hydrolase; nucleoside triphospate hydrolase; nucleoside triphosphate hydrolase; phage recombination-related endonuclease Gp46; probable exonuclease subunit 2; putative ATPase; putative ATPase involved in DNA repair; putative DNA repair exonuclease; putative DNA repair exonuclease protein, subunit 2; putative SbcC-type recombination nuclease; putative ecombination endonuclease subunit; putative endonuclease subunit; putative exonuclease; putative exonuclease 1; putative exonuclease 2; putative exonuclease I; putative exonuclease SbcCD C subunit; putative exonuclease subunit 2; putative exonuclease subunit 2-like protein; putative nucleoside triphosphate hydrolase; putative predicted product; putative recombinase; putative recombination endonuclease subunit; putative recombination endonuclease subunit D13; putative recombination endonuclease subunit [Shigella phage Shfl2]; putative recombination endonuclease subunit gp46; putative recombination endonuclease, subunit D13; putative recombination related exonuclease; recF/RecN/SMC N terminal domain protein; recF/recN/SMC N terminal domain protein; recF/recN/SN recombination protein; recombination endonuclease; recombination endonuclease Gp46; recombination endonuclease subunit; recombination endonuclease sunbunit; recombination endonuclease, ATP binding cassette; recombination exonuclease; recombination nuclease; recombination protein; recombination protein subunit; recombination related exonuclease; recombination subunit; recombination-related endonuclease; recombination-related endonuclease I; recombination/repair endonuclease subunit; recombinational DNA repair ATPase; repair exonuclease	Mapped to: POG0083
VOG0085	Bacteria+Archaea	271	271	5	19	2'-deoxyuridine 5'-triphosphatase; 77ORF021; DCTP deaminase; DUT; DUTP diphosphatase; ORF019; ORF020; ORF021; ORF023; ORF024; ORF025; ORF026; ORF036; ORF091; ORF214; Putative phage dUTP pyrophosphatase; dCTP deaminase; dUTP nucleotidohydrolase; dUTP nucleotihydrolase; dUTP pyrophosphatase; dUTPase; dUTPase, deoxyuridine 5'-triphosphate nucleotidohydrolase; deaminase protein deoxycytidine triphosphate-like protein; deoxyUTP pyrophosphatase; deoxycytidine triphosphate deaminase; deoxyuridine 5'-triphosphate nucleotidohydrolase; deoxyuridine 5'-triphosphate nucleotidohydrolase FS; deoxyuridine 5'-triphosphate nucleotidohydrolase [Erwinia phage vB_EamM-Y2]; deoxyuridine 5'-triphosphate nucleotidohydrolase, DUTP; deoxyuridine 5'-triphosphatenucleotidohydrolase; deoxyuridine 5-triphosphate nucleotidohydrolase Dut; deoxyuridine triphosphate nucleotidohydrolase; gp118; gp22.1; gp50; gp57; hypothetical phage protein (possible dUTP pyrophosphatase); hypothetical protein; nucleotidohydrolase; phi PVL ORF 53 analogue; putative DUTP diphosphatase Dut; putative Deoxyuridine 5'-triphosphate nucleotidohydrolase; putative SaPIbov1 derepressor; putative dCTP deaminase; putative dUTP diphosphatase; putative dUTP pyrophosphatase; putative dUTPase; putative deoxyUTP protein; putative deoxyUTP pyrophosphatase; putative deoxycytidine deaminase; putative deoxycytidine triphosphate deaminase; putative deoxyuridine 5'-triphosphate nucleotidohydrolase; putative deoxyuridine 5'-triphosphate nucleotidohydrolase protein; putative deoxyuridine 5'-triphosphate nucleotidohydrolase-like protein; putative deoxyuridine 5'-triphosphate nucleotidylhydrolase; putative predicted product; similar to dCTP deaminases; trimeric dUTP diphosphatase; trimeric dUTPase	Complete union of: POG0085; POG3603
VOG0086	Bacteria	120	120	2	4	-; D14 protein; D14 protein/putative resolvase; Holliday junction resolvase; ORF063; endonuclease; endonuclease - holliday junction resolvase-like protein; gp122; gp123; gp24.1; gp54; gp61; group-specific protein; holiday junction resolvase; holliday junction resolvase; hypothetical cyanophage protein; hypothetical protein; phage SPO1 gene 91; putative D14 protein; putative predicted product; putative resolvase; resolvase; restriction endonuclease; tail sheath stabilizer	Mapped to: POG0086
VOG0088	Bacteria+Archaea	690	659	3	14	NDP reductase large subunit; NTP reductase; NrdA; NrdA aerobic NDP reductase large subunit; NrdA aerobic ribonucleoside diphosphate reductase large subunit; NrdA ribonucleoside triphosphate reductase alpha chain; NrdA ribonucleoside-diphosphate reductase alpha subunit; NrdA ribonucleoside-diphosphate reductase subunit alpha; NrdA ribonucleotide reductase A; NrdA ribonucleotide reductase A subunit; NrdA-A aerobic NDP reductase large subunit; NrdA-B aerobic NDP reductase large subunit; NrdE; Nrda; ORF006; ORF033; ORF045; ORF306; Phi92_gp075; Probable phage ribonucleotide-diphosphate reductase alpha subunit; Putative aerobic NDP reductase large subunit; NrdA; RP ribonucleotide reductase; Ribonucleoside triphosphate reductase, alpha chain; Ribonucleoside-diphosphate reductase 1 subunit alpha; Ribonucleotide reductase; Ribonucleotide reductase, large subunit; RnR alpha subunit; adenosylcobalamin-dependent ribonucleoside-triphosphate reductase; aerobic NDP reductase; aerobic NDP reductase large subunit; aerobic NDP reductase, large subunit; aerobic ribonucleoside diphosphate reductase large subunit; aerobic ribonucleoside diphosphate reductase, large subunit; aerobic ribonucleoside-diphosphate reductase large subunit; aerobic ribonucleotide reductase large subunit; aerobic ribonucleotide reductase, alpha subunit; class I ribonucleotide reductase alpha subunit; class II ribonucleoside reductase; class II ribonucleotide reductase; gp123; gp124; gp125; gp2.9; gp246; gp42; gp43; gp44; gp45; gp46; gp47; gp48; gp49; gp50; gp51; gp52; gp53; gp54; gp55; gp56; gp64; gp82; hypothetical NrdA; hypothetical protein; hypothetical protein ORF029; hypothetical protein ORF046; nibonucleoside-diphosphate reductase subunit alpha; nrd alpha subunit; nrdA; nrdA ribonucleoside triphosphate reductase, alpha chain; puative ribonucleotide reductase; putative B12-dependent class II ribonucleotide reductase; putative Ribonucleotide reductase of class Ia; putative aerobic ribonucleoside diphosphate reductase large subunit; putative aerobic ribonucleoside diphosphate reductase, large subunit; putative class I ribonucleotide reductase alpha subunit; putative predicted product; putative ribnucleotide-diphosphate reductase subunit alpha; putative ribonucleoside reductase alpha chain; putative ribonucleoside reductase large subunit; putative ribonucleoside triphosphate reductase alpha chain; putative ribonucleoside triphosphate reductase large subunit; putative ribonucleoside-diphosphate reductase; putative ribonucleoside-diphosphate reductase alpha chain; putative ribonucleoside-diphosphate reductase alpha subunit; putative ribonucleoside-diphosphate reductase protein, alpha subunit; putative ribonucleoside-diphosphate reductase subunit alpha; putative ribonucleoside-diphosphate redutase; putative ribonucleoside-triphosphate reductase; putative ribonucleotide reductase; putative ribonucleotide reductase A subunit; putative ribonucleotide reductase alpha subunit; putative ribonucleotide reductase large subunit; putative ribonucleotide reductase of class Ia; putative ribonucleotide reductase of class Ia (aerobic) alpha subunit; putative ribonucleotide reductase of class Ib (aerobic), subunit alpha 1; putative ribonucleotide reductase of class Ib (aerobic), subunit alpha 2; putative ribonucleotide triphosphate reductase alpha chain; putative ribonucleotide-diphosphate reductase (alpha subunit); putative ribonucleotide-diphosphate reductase alpha subunit; putative ribonucleotide-diphosphate reductase subunit alpha; putative ribonucleotide-diphosphate reductase subunit alpha, NrdA; putative ribonucleotide-diphosphate reductase, alpha subunit; putative ribonucleotide-diphosphatereductase sudunit alpha C-terminal protein; putative ribonucleotide-diphosphatereductase sudunit alpha N-terminal protein; putivate ribonucleotide reductase; riboncleoside-triphosphate reductase; ribonuclease reductase; ribonucleoside diphosphate reductase 1 alpha chain; ribonucleoside diphosphate reductase alpha subunit; ribonucleoside reductase; ribonucleoside reductase alpha subunit; ribonucleoside reductase large subunit; ribonucleoside triphosphate reductase alpha chain; ribonucleoside triphosphate reductase alpha chain [Escherichia phage vB_EcoM_FFH2]; ribonucleoside triphosphate reductase alpha subunit; ribonucleoside triphosphate reductase large subunit; ribonucleoside triphosphate reductase, alpha chain; ribonucleoside-diphosphate alpha subunit; ribonucleoside-diphosphate reductase; ribonucleoside-diphosphate reductase 1 subunit alpha; ribonucleoside-diphosphate reductase alpha chain; ribonucleoside-diphosphate reductase alpha subunit; ribonucleoside-diphosphate reductase alpha subunit NrdA; ribonucleoside-diphosphate reductase alpha subunit-like protein; ribonucleoside-diphosphate reductase large subunit; ribonucleoside-diphosphate reductase subunit alpha; ribonucleoside-diphosphate reductase, alpha subunit; ribonucleoside-disphosphate reductase alpha subunit; ribonucleoside-thiphosphate reductase; ribonucleoside-triphosphate reductase; ribonucleotide diphosphate reductase alpha subunit; ribonucleotide diphosphate reductase subunit alpha; ribonucleotide diphosphate reductase subunit aplpha; ribonucleotide redeuctase; ribonucleotide reductase; ribonucleotide reductase (aerobic) alpha subunit; ribonucleotide reductase A; ribonucleotide reductase A subunit; ribonucleotide reductase A subunit [Enterobacteria phage RB14]; ribonucleotide reductase alpha subunit; ribonucleotide reductase alpha subunit [Escherichia phage wV7]; ribonucleotide reductase class II; ribonucleotide reductase class Ia alpha subunit; ribonucleotide reductase class Ia subunit; ribonucleotide reductase domain-containing protein; ribonucleotide reductase large subunit; ribonucleotide reductase of class Ia (aerobic) alpha subunit; ribonucleotide reductase of class Ia (aerobic), alpha subunit; ribonucleotide reductase of class Ia (aerobic),alpha subunit; ribonucleotide reductase of class Ia alpha subunit; ribonucleotide reductase of class Ib (aerobic) alpha subunit; ribonucleotide reductase of class Ib subunit alpha 2; ribonucleotide reductase subunit A; ribonucleotide reductase subunit alpha; ribonucleotide reductase, large subunit; ribonucleotide-diphosphate reductase alpha subunit; ribonucleotide-diphosphate reductase subunit A; ribonucleotide-diphosphate reductase subunit alpha; ribonucleotide-diphosphate reductase subunit alpha-like protein; ribonucleotide-diphosphate reductase subunit beta; ribonucletoide reductase	Complete union of: POG0088; POG0666
