L1	L2	L3	KO	Function	EC
Amino acid transport and metabolism	5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation)		COG0235	AraD:Urea cycle	
Carbohydrate transport and metabolism	5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation)		COG0235	AraD:Urea cycle	
Lipid transport and metabolism	Acyl carrier protein		COG0236	AcpP:Fatty acid biosynthesis	
Coenzyme transport and metabolism	Dephospho-CoA kinase		COG0237	CoaE:Pantothenate/CoA biosynthesis	
Translation, ribosomal structure and biogenesis	Ribosomal protein S18		COG0238	RpsR:Ribosome 30S subunit	
Cell cycle control, cell division, chromosome partitioning	Fluoride ion exporter CrcB/FEX, affects chromosome condensation		COG0239	CrcB:	
Inorganic ion transport and metabolism	Fluoride ion exporter CrcB/FEX, affects chromosome condensation		COG0239	CrcB:	
Energy production and conversion	Glycerol-3-phosphate dehydrogenase		COG0240	GpsA:Isoprenoid biosynthesis	
Amino acid transport and metabolism	Histidinol phosphatase/D-glycero-mannoheptose bisphosphatephosphatase, HAD superfamily		COG0241	HisB1/GmhB:Histidine biosynthesis	
Translation, ribosomal structure and biogenesis	Peptide deformylase		COG0242	Def:	
Energy production and conversion	Anaerobic selenocysteine-containing dehydrogenase		COG0243	BisC:	
Translation, ribosomal structure and biogenesis	Ribosomal protein L10		COG0244	RplJ:Ribosome 50S subunit	
Lipid transport and metabolism	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase		COG0245	IspF:Isoprenoid biosynthesis	
Carbohydrate transport and metabolism	Mannitol-1-phosphate/altronate dehydrogenases		COG0246	MtlD:	
Energy production and conversion	Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF		COG0247	GlpC:	
Nucleotide transport and metabolism	Exopolyphosphatase/pppGpp-phosphohydrolase		COG0248	GppA:	
Signal transduction mechanisms	Exopolyphosphatase/pppGpp-phosphohydrolase		COG0248	GppA:	
Replication, recombination and repair	DNA mismatch repair ATPase MutS		COG0249	MutS:	
Transcription	Transcription termination/antitermination protein NusG		COG0250	NusG:	
Defense mechanisms	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family		COG0251	RidA:Pyrimidine degradation	
Translation, ribosomal structure and biogenesis	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D		COG0252	AnsA:	
Amino acid transport and metabolism	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D		COG0252	AnsA:	
Amino acid transport and metabolism	Diaminopimelate epimerase		COG0253	DapF:Lysine biosynthesis	
Translation, ribosomal structure and biogenesis	Ribosomal protein L31		COG0254	RpmE:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein L29		COG0255	RpmC:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein L18		COG0256	RplR:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein L36		COG0257	RpmJ:Ribosome 50S subunit	
Replication, recombination and repair	5'-3' exonuclease Xni/ExoIX (flap endonuclease)		COG0258	ExoIX:	
Coenzyme transport and metabolism	Pyridoxine/pyridoxamine 5'-phosphate oxidase		COG0259	PdxH:Pyridoxal phosphate biosynthesis	
Amino acid transport and metabolism	Leucyl aminopeptidase		COG0260	PepB:	
Translation, ribosomal structure and biogenesis	Ribosomal protein L21		COG0261	RplU:Ribosome 50S subunit	
Coenzyme transport and metabolism	Dihydrofolate reductase		COG0262	FolA:Folate biosynthesis	
Amino acid transport and metabolism	Glutamate 5-kinase		COG0263	ProB:Proline biosynthesis	
Translation, ribosomal structure and biogenesis	Translation elongation factor EF-Ts		COG0264	Tsf:Translation factors	
Posttranslational modification, protein turnover, chaperones	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain		COG0265	DegQ:	
Replication, recombination and repair	Formamidopyrimidine-DNA glycosylase		COG0266	Nei:	
Translation, ribosomal structure and biogenesis	Ribosomal protein L33		COG0267	RpmG:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein S20		COG0268	RpsT:Ribosome 30S subunit	
Carbohydrate transport and metabolism	3-keto-L-gulonate-6-phosphate decarboxylase		COG0269	UlaD:	
Replication, recombination and repair	DNA-cytosine methylase		COG0270	Dcm:	
Transcription	DNA-binding global transcriptional regulator BolA, affects cell shape, cell division and biofilm formation		COG0271	BolA:	
Signal transduction mechanisms	DNA-binding global transcriptional regulator BolA, affects cell shape, cell division and biofilm formation		COG0271	BolA:	
Replication, recombination and repair	NAD-dependent DNA ligase		COG0272	Lig:	
Nucleotide transport and metabolism	Deoxyribose-phosphate aldolase		COG0274	DeoC:	
Translation, ribosomal structure and biogenesis	16S rRNA C1402 N4-methylase RsmH		COG0275	RmsH:16S rRNA modification	
Coenzyme transport and metabolism	Protoheme ferro-lyase (ferrochelatase)		COG0276	HemH:Heme biosynthesis	
Energy production and conversion	FAD/FMN-containing lactate dehydrogenase/glycolate oxidase		COG0277	GlcD:	
Posttranslational modification, protein turnover, chaperones	Glutaredoxin-related protein		COG0278	GrxD:	
Carbohydrate transport and metabolism	Phosphoheptose isomerase		COG0279	GmhA:	
Energy production and conversion	Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase)		COG0280	Pta:	
Energy production and conversion	Malic enzyme		COG0281	SfcA:Urea cycle	
Energy production and conversion	Acetate kinase		COG0282	AckA:	
Nucleotide transport and metabolism	Cytidylate kinase		COG0283	Cmk:	
Nucleotide transport and metabolism	Orotidine-5'-phosphate decarboxylase		COG0284	PyrF:Pyrimidine biosynthesis	
Coenzyme transport and metabolism	Folylpolyglutamate synthase/Dihydropteroate synthase		COG0285	FolC:Folate biosynthesis	
Defense mechanisms	Type I restriction-modification system, DNA methylase subunit		COG0286	HsdM:	
Amino acid transport and metabolism	Prephenate dehydrogenase		COG0287	TyrA:Aromatic amino acid biosynthesis	
Inorganic ion transport and metabolism	Carbonic anhydrase		COG0288	CynT:	
Amino acid transport and metabolism	4-hydroxy-tetrahydrodipicolinate reductase		COG0289	DapB:Lysine biosynthesis	
Translation, ribosomal structure and biogenesis	Translation initiation factor IF-3		COG0290	InfC:Translation factors	
Translation, ribosomal structure and biogenesis	Ribosomal protein L35		COG0291	RpmI:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein L20		COG0292	RplT:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	23S rRNA U2552 (ribose-2'-O)-methylase RlmE/FtsJ		COG0293	RlmE:23S rRNA modification	
Coenzyme transport and metabolism	Dihydropteroate synthase		COG0294	FolP:Folate biosynthesis	
Nucleotide transport and metabolism	Cytidine deaminase		COG0295	Cdd:Pyrimidine salvage	
Carbohydrate transport and metabolism	1,4-alpha-glucan branching enzyme		COG0296	GlgB:	
Carbohydrate transport and metabolism	Glycogen synthase		COG0297	GlgA:	
Posttranslational modification, protein turnover, chaperones	Hydrogenase maturation factor HybG, HypC/HupF family		COG0298	HypC:	
Nucleotide transport and metabolism	Folate-dependent phosphoribosylglycinamide formyltransferase PurN		COG0299	PurN:Purine biosynthesis	
General function prediction only	Short-chain dehydrogenase		COG0300	YqjQ:	
Coenzyme transport and metabolism	Adenylyl- and sulfurtransferase ThiI (thiamine and tRNA 4-thiouridine biosynthesis)		COG0301	ThiI:Thiamine biosynthesis	
Translation, ribosomal structure and biogenesis	Adenylyl- and sulfurtransferase ThiI (thiamine and tRNA 4-thiouridine biosynthesis)		COG0301	ThiI:Thiamine biosynthesis	
Coenzyme transport and metabolism	GTP cyclohydrolase I		COG0302	FolE:Folate biosynthesis	
Coenzyme transport and metabolism	Molybdopterin Mo-transferase (molybdopterin biosynthesis)		COG0303	MoeA:Molybdopterin biosynthesis	
Lipid transport and metabolism	3-oxoacyl-(acyl-carrier-protein) synthase		COG0304	FabB:Fatty acid biosynthesis	
Secondary metabolites biosynthesis, transport and catabolism	3-oxoacyl-(acyl-carrier-protein) synthase		COG0304	FabB:Fatty acid biosynthesis	
Replication, recombination and repair	Replicative DNA helicase		COG0305	DnaB:	
Inorganic ion transport and metabolism	Phosphate/sulfate permease		COG0306	PitA:	
Coenzyme transport and metabolism	Riboflavin synthase alpha chain		COG0307	RibC:Riboflavin/FAD biosynthesis	
Amino acid transport and metabolism	Aminopeptidase N, contains DUF3458 domain		COG0308	PepN:	
Posttranslational modification, protein turnover, chaperones	Carbamoyl dehydratase HypE (hydrogenase maturation factor)		COG0309	HypE:	
Inorganic ion transport and metabolism	ABC-type Co2+ transport system, permease component		COG0310	CbiM:	
Coenzyme transport and metabolism	Pyridoxal 5'-phosphate synthase subunit PdxT (glutamine amidotransferase)		COG0311	PdxT:Pyridoxal phosphate biosynthesis	
General function prediction only	Zn-dependent protease PmbA/TldA or its inactivated homolog		COG0312	TldD:	
Translation, ribosomal structure and biogenesis	16S rRNA C1402 (ribose-2'-O) methylase RsmI		COG0313	RsmI:16S rRNA modification	
Coenzyme transport and metabolism	Molybdopterin synthase catalytic subunit MoaE		COG0314	MoaE:Molybdopterin biosynthesis	
Coenzyme transport and metabolism	Molybdenum cofactor biosynthesis enzyme MoaC		COG0315	MoaC:Molybdopterin biosynthesis	
Posttranslational modification, protein turnover, chaperones	Fe-S cluster assembly iron-binding protein IscA		COG0316	IscA:	
Signal transduction mechanisms	(p)ppGpp synthase/hydrolase, HD superfamily		COG0317	SpoT:	
Transcription	(p)ppGpp synthase/hydrolase, HD superfamily		COG0317	SpoT:	
Lipid transport and metabolism	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)		COG0318	MenE/FadK:Menaquinone biosynthesis	
Translation, ribosomal structure and biogenesis	ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme		COG0319	YbeY:16S rRNA modification	
Coenzyme transport and metabolism	Lipoate synthase		COG0320	LipA:Lipoate biosynthesis	
Coenzyme transport and metabolism	Lipoate-protein ligase B		COG0321	LipB:Lipoate biosynthesis	
Replication, recombination and repair	Excinuclease UvrABC, nuclease subunit		COG0322	UvrC:	
Replication, recombination and repair	DNA mismatch repair ATPase MutL		COG0323	MutL:	
Translation, ribosomal structure and biogenesis	tRNA A37 N6-isopentenylltransferase MiaA		COG0324	MiaA:tRNA modification	
Coenzyme transport and metabolism	Pyridoxal 5'-phosphate homeostasis protein YggS, UPF0001 family		COG0325	YggS:	
Posttranslational modification, protein turnover, chaperones	Molecular chaperone, HSP90 family		COG0326	HtpG:	
Coenzyme transport and metabolism	Putative GTP cyclohydrolase 1 type 2, NIF3 family		COG0327	NIF3:Folate biosynthesis	
Replication, recombination and repair	Ribonuclease HI		COG0328	RnhA:	
Amino acid transport and metabolism	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase		COG0329	DapA:Lysine biosynthesis	
Cell wall/membrane/envelope biogenesis	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase		COG0329	DapA:Lysine biosynthesis	
Posttranslational modification, protein turnover, chaperones	Regulator of protease activity HflC, stomatin/prohibitin superfamily		COG0330	HflC:	
Lipid transport and metabolism	Malonyl CoA-acyl carrier protein transacylase		COG0331	FabD:Fatty acid biosynthesis	
Lipid transport and metabolism	3-oxoacyl-[acyl-carrier-protein] synthase III		COG0332	FabH:Fatty acid biosynthesis	
Translation, ribosomal structure and biogenesis	Ribosomal protein L32		COG0333	RpmF:Ribosome 50S subunit	
Amino acid transport and metabolism	Glutamate dehydrogenase/leucine dehydrogenase		COG0334	GdhA:Glutamine biosynthesis	
Translation, ribosomal structure and biogenesis	Ribosomal protein L19		COG0335	RplS:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	tRNA G37 N-methylase TrmD		COG0336	TrmD:tRNA modification	
Amino acid transport and metabolism	3-dehydroquinate synthetase		COG0337	AroB:Aromatic amino acid biosynthesis	
Replication, recombination and repair	DNA-adenine methylase		COG0338	Dam:	
Posttranslational modification, protein turnover, chaperones	Zn-dependent oligopeptidase, M3 family		COG0339	Dcp:	
Coenzyme transport and metabolism	Biotin-(acetyl-CoA carboxylase) ligase		COG0340	BirA2:Biotin biosynthesis	
Intracellular trafficking, secretion, and vesicular transport	Preprotein translocase subunit SecF		COG0341	SecF:	
Intracellular trafficking, secretion, and vesicular transport	Preprotein translocase subunit SecD		COG0342	SecD:	
Translation, ribosomal structure and biogenesis	Queuine/archaeosine tRNA-ribosyltransferase		COG0343	Tgt:tRNA modification	
Lipid transport and metabolism	Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase		COG0344	PlsY:	
Amino acid transport and metabolism	Pyrroline-5-carboxylate reductase		COG0345	ProC:Proline biosynthesis	
Secondary metabolites biosynthesis, transport and catabolism	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family		COG0346	GloA:	
Signal transduction mechanisms	Nitrogen regulatory protein PII		COG0347	GlnK:	
Amino acid transport and metabolism	Nitrogen regulatory protein PII		COG0347	GlnK:	
Energy production and conversion	Polyferredoxin NapH		COG0348	NapH:	
Translation, ribosomal structure and biogenesis	Ribonuclease D		COG0349	Rnd:	
Replication, recombination and repair	DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase)		COG0350	AdaB:	
Coenzyme transport and metabolism	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase		COG0351	ThiD:Thiamine biosynthesis	
Coenzyme transport and metabolism	Thiamine monophosphate synthase		COG0352	ThiE:Thiamine biosynthesis	
Replication, recombination and repair	Recombinational DNA repair protein RecR		COG0353	RecR:	
Posttranslational modification, protein turnover, chaperones	Folate-binding protein YgfZ, synthesis and repair of Fe-S clusters		COG0354	YgfZ:	
Energy production and conversion	FoF1-type ATP synthase, epsilon subunit		COG0355	AtpC:FoF1-type ATP synthase	
Energy production and conversion	FoF1-type ATP synthase, membrane subunit a		COG0356	AtpB:FoF1-type ATP synthase	
Translation, ribosomal structure and biogenesis	16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)		COG0357	RsmG:16S rRNA modification	
Replication, recombination and repair	DNA primase (bacterial type)		COG0358	DnaG:	
Translation, ribosomal structure and biogenesis	Ribosomal protein L9		COG0359	RplI:Ribosome 50S subunit	
Translation, ribosomal structure and biogenesis	Ribosomal protein S6		COG0360	RpsF:Ribosome 30S subunit	
Translation, ribosomal structure and biogenesis	Translation initiation factor IF-1		COG0361	InfA:Translation factors	
Carbohydrate transport and metabolism	6-phosphogluconate dehydrogenase		COG0362	Gnd:Pentose phosphate pathway	
Carbohydrate transport and metabolism	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase		COG0363	NagB:Pentose phosphate pathway	
Carbohydrate transport and metabolism	Glucose-6-phosphate 1-dehydrogenase		COG0364	Zwf:Pentose phosphate pathway	
Lipid transport and metabolism	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase		COG0365	Acs:	
Carbohydrate transport and metabolism	Glycosidase/amylase (phosphorylase)		COG0366	AmyA:	
Amino acid transport and metabolism	Asparagine synthetase B (glutamine-hydrolyzing)		COG0367	AsnB:Asparagine biosynthesis	
Coenzyme transport and metabolism	Cobalamin synthase CobS (adenosylcobinamide-GDP ribazoletransferase)		COG0368	CobS:Cobalamine/B12 biosynthesis	
Nucleotide transport and metabolism	Flavoprotein (flavin reductase) subunit CysJ of sulfite and N-hydroxylaminopurine reductases		COG0369	CysJ:Cysteine biosynthesis	
Inorganic ion transport and metabolism	Flavoprotein (flavin reductase) subunit CysJ of sulfite and N-hydroxylaminopurine reductases		COG0369	CysJ:Cysteine biosynthesis	
Inorganic ion transport and metabolism	Fe2+ transporter FeoB		COG0370	FeoB:	
Energy production and conversion	Glycerol dehydrogenase or related enzyme, iron-containing ADH family		COG0371	GldA:Isoprenoid biosynthesis	
Energy production and conversion	Citrate synthase		COG0372	GltA:TCA cycle	
Coenzyme transport and metabolism	Glutamyl-tRNA reductase		COG0373	HemA:Heme biosynthesis	
Energy production and conversion	Ni,Fe-hydrogenase I large subunit		COG0374	HyaB:	
