L1	ID	Function	EC	UNIPROT ID
Function unknown	VOG00394	DnaA protein		
Function unknown	VOG00395	baseplate hub assembly catalyst		
Function unknown	VOG00396	hypothetical protein		
Function unknown	VOG00397	hypothetical protein		
Virus protein with function beneficial for the host	VOG00398	Putative Ig-like domain-containing protein C1		VC01_SWPVK
Function unknown	VOG00399	hypothetical protein		
Function unknown	VOG00400	hypothetical protein		
Function unknown	VOG00401	Uncharacterized protein R883		YR883_MIMIV
Function unknown	VOG00402	Uncharacterized protein 028R		028R_FRG3G
Function unknown	VOG00403	Uncharacterized 17.7 kDa protein in e-segB intergenic region		Y06L_BPT4
Function unknown	VOG00404	Uncharacterized protein YdfU		YDFU_ECOLI
Function unknown	VOG00405	Uncharacterized protein 094L		VF050_IIV3
Function unknown	VOG00406	Putative peptidyl-tRNA hydrolase		V029_FOWPN
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00407	RNA ligase 1		RLIG_BPT4
Function unknown	VOG00408	Ribonuclease H		RNH_CYAP4
Function unknown	VOG00409	Gene 61 protein		VG61_BPMD2
Function unknown	VOG00410	HNH endonuclease		
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG00411	mRNA-capping enzyme catalytic subunit		MCEL_CWPXB
Function unknown	VOG00412	Gene 1 protein		VG01_BPMD2
Virus protein with function beneficial for the virus	VOG00413	Endonuclease I		ENDO_BPT7
Virus structure	VOG00414	Uncharacterized protein L352		YL352_MIMIV
Function unknown	VOG00415	lytic tail protein		
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG00416	DNA-directed RNA polymerase 147 kDa polypeptide		RP147_MONPV
Virus protein with function beneficial for the host	VOG00417	Guanylate kinase		KGUA_HUMAN
Function unknown	VOG00418	glycoprotein		
Function unknown	VOG00419	hypothetical protein		
Function unknown	VOG00420	hypothetical protein		
Function unknown	VOG00421	Uncharacterized protein 56		Y56_SIRV1
Function unknown	VOG00422	transcriptional repressor		
Function unknown	VOG00423	Uncharacterized protein ORF17		YO17_ADEG1
Function unknown	VOG00424	hypothetical protein		
Virus protein with function beneficial for the host | Virus structure	VOG00425	Protein OPG096		PG096_VACCW
Virus protein with function beneficial for the virus	VOG00426	Exonuclease subunit 1		EXO1_BPT4
Virus structure	VOG00427	Tail fiber assembly protein		TFA_LAMBD
Function unknown	VOG00428	Uncharacterized protein L531		YL531_MIMIV
Function unknown	VOG00429	hypothetical protein		
Function unknown	VOG00430	Protein MGF 360-18R		36018_ASFP4
Function unknown	VOG00431	Uncharacterized protein HQLF3		US01_HCMVA
Function unknown	VOG00432	Uncharacterized protein 024R		024R_FRG3G
Function unknown	VOG00433	nucleotide pyrophosphohydrolase		
Virus structure	VOG00434	84 kDa readthrough protein		CPRT_SBWMN
Function unknown	VOG00435	HNH endonuclease		
Virus protein with function beneficial for the virus	VOG00436	VIRF-1		VIRF1_HHV8P
Virus protein with function beneficial for the host | Virus structure	VOG00437	Probable baseplate hub protein		BPD_BP186
Virus protein with function beneficial for the host | Virus replication	VOG00438	Replicase polyprotein P2AB		RDRP_SBMVA
Virus protein with function beneficial for the host | Virus replication	VOG00439	Protein RecA (Fragment)		RECA_MYCCI
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00440	Genome polyprotein		POLG_SAFV
Function unknown	VOG00441	neck protein		
Function unknown	VOG00442	Gene 87 protein		VG87_BPMD2
Function unknown	VOG00443	Uncharacterized protein L246		YL246_MIMIV
Function unknown	VOG00444	hypothetical protein		
Function unknown	VOG00445	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00446	Holin		HOLIN_BPPRD
Function unknown	VOG00447	Uncharacterized 25.0 kDa protein in regB-denV intergenic region		Y06K_BPT4
Virus structure	VOG00448	Capsid protein		CAPSD_POLVP
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00449	Protein ORF45		ORF45_HHV8P
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00450	Spike protein		SPIKE_BPP2
Function unknown	VOG00451	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00452	Type II methyltransferase M.CvrRI		MTR1_PBCVX
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00453	E3 ubiquitin-protein ligase LAP		LAP_RFVKA
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00454	Long-tail fiber protein gp36		FIB36_BPT4
Function unknown	VOG00455	nucleoside triphosphate pyrophosphohydrolase		
Virus protein with function beneficial for the host	VOG00456	Phosphatidylinositol 4-phosphate 5-kinase 7		PI5K7_ARATH
Function unknown	VOG00457	tail fiber protein		
Function unknown	VOG00458	Gene 5 protein		VG05_BPMD2
Function unknown	VOG00459	hypothetical protein		
Function unknown	VOG00460	Late expression factor 9		LEF9_NPVOP
Virus protein with function beneficial for the host | Virus structure	VOG00461	Major capsid protein		CAPSH_BPT4
Virus protein with function beneficial for the host | Virus replication | Virus structure	VOG00462	Genome polyprotein		POLG_PPVD
Virus protein with function beneficial for the virus | Virus structure	VOG00463	Long tail fiber protein Gp37		FIB37_BPK3
Function unknown	VOG00464	hypothetical protein		
Virus structure	VOG00465	Neck protein gp13		NECK1_BPT4
Function unknown	VOG00466	Uncharacterized protein p24		P24_CILVC
Function unknown	VOG00467	SPbeta prophage-derived uncharacterized protein YorG		YORG_BACSU
Function unknown	VOG00468	Gene 19 protein		VG19_BPML5
Virus structure	VOG00469	Double gene block protein 2		MP2_CARMS
Function unknown	VOG00470	Uncharacterized nin region protein ORF290		Y290_LAMBD
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication	VOG00471	DNA adenine methylase		DMA_BPT2
Function unknown	VOG00472	hypothetical protein		
Function unknown	VOG00473	SPbeta prophage-derived uncharacterized protein YonF		YONF_BACSU
Function unknown	VOG00474	tail fiber protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00475	Probable tail fiber protein		FIBH_BPP2
Function unknown	VOG00476	SPbeta prophage-derived putative antirepressor protein YoqD		YOQD_BACSU
Function unknown	VOG00477	hypothetical protein		
Function unknown	VOG00478	hypothetical protein		
Function unknown	VOG00479	hypothetical protein		
Function unknown	VOG00480	hypothetical protein		
Function unknown	VOG00481	hypothetical protein		
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00482	Tape measure protein		TMP_BPT1
Function unknown	VOG00483	maturation protein		
Function unknown	VOG00484	tail assembly chaperone		
Function unknown	VOG00485	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00486	Spanin, inner membrane subunit		SPAN1_BPT4
Function unknown	VOG00487	hypothetical protein		
Function unknown	VOG00488	hypothetical protein		
Function unknown	VOG00489	hypothetical protein		
Virus protein with function beneficial for the host	VOG00490	Gene 1.7 protein		V17_BPT3
Function unknown	VOG00491	tail fiber protein		
Function unknown	VOG00492	L-glutamine-D-fructose-6-phosphate aminotransferase		
Function unknown	VOG00493	virion structural protein		
Function unknown	VOG00494	hypothetical protein		
Function unknown	VOG00495	hypothetical protein		
Function unknown	VOG00496	Uncharacterized protein Gp1		YLF1_BPN4
Function unknown	VOG00497	hypothetical protein		
Function unknown	VOG00498	hypothetical protein		
Function unknown	VOG00499	Uncharacterized 5.1 kDa protein in Gp55-nrdG intergenic region		Y04D_BPT4
Virus replication	VOG00500	Terminase, small subunit gp18		TERS_BPT7
Function unknown	VOG00501	hypothetical protein		
Function unknown	VOG00502	hypothetical protein		
Virus protein with function beneficial for the host | Virus structure	VOG00503	NAD(+)--arginine ADP-ribosyltransferase		ALT_BPT2
Function unknown	VOG00504	hypothetical protein		
Virus protein with function beneficial for the virus | Virus structure	VOG00505	Depolymerase, capsule K64-specific		DPO25_BPK64
Virus protein with function beneficial for the host | Virus structure	VOG00506	Tail completion protein		COMPL_BPN15
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus structure	VOG00507	Short tail fiber protein gp12		FIB12_BPT4
Function unknown	VOG00508	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG00509	DNA methyltransferase CcrM		CCRM_BRUC2
Virus protein with function beneficial for the virus | Virus structure	VOG00510	Envelope glycoprotein L		GL_HHV11
Function unknown	VOG00511	glycosyltransferase		
Function unknown	VOG00512	Putative hydrolase 414L		VF414_IIV6
Virus protein with function beneficial for the host	VOG00513	Serine proteinase inhibitor 1		SPI1_VACCW
Virus protein with function beneficial for the host	VOG00514	DNA topoisomerase 2-alpha		TOP2A_CRIGR
Virus protein with function beneficial for the host	VOG00515	Uncharacterized protein FPV250		V250_FOWPN
Virus protein with function beneficial for the host | Virus replication	VOG00516	Protein rIIA		VR2A_BPT4
Virus replication | Virus structure	VOG00517	Nucleoprotein		NCAP_PTPV
Function unknown	VOG00518	hypothetical protein		
Function unknown	VOG00519	Uncharacterized 17.5 kDa protein in tk-vs intergenic region		Y06D_BPT4
Function unknown	VOG00520	N		
Function unknown	VOG00521	tail fiber protein		
Function unknown	VOG00522	Uncharacterized protein 073L		073L_FRG3G
Virus protein with function beneficial for the host | Virus replication	VOG00523	Thymidine kinase		KITH_BPT4
Virus protein with function beneficial for the host | Virus replication	VOG00524	RNA-directed RNA polymerase L		L_SINV
Function unknown	VOG00525	tail protein		
Function unknown	VOG00526	tail fiber protein		
Function unknown	VOG00527	E32		
Function unknown	VOG00528	Uncharacterized protein R106		YR106_MIMIV
Function unknown	VOG00529	Uncharacterized protein L697		YL697_MIMIV
Virus protein with function beneficial for the host | Virus replication	VOG00530	Probable flavin-dependent thymidylate synthase		THYX_PBCV1
Function unknown	VOG00531	tail completion or Neck1 protein		
Virus protein with function beneficial for the host | Virus structure	VOG00532	Envelope protein US9 homolog		US9_CHV1
Function unknown	VOG00533	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00534	Tail tip protein L		TIPL_BPN15
Virus protein with function beneficial for the virus | Virus replication | Virus structure	VOG00535	Head completion protein gp15		HCP15_BPSPP
Function unknown	VOG00536	hypothetical protein		
Function unknown	VOG00537	tail protein		
Function unknown	VOG00538	hypothetical protein		
Function unknown	VOG00539	hypothetical protein		
Virus protein with function beneficial for the host | Virus structure	VOG00540	Putative GMC-type oxidoreductase R135		YR135_MIMIV
Function unknown	VOG00541	hypothetical protein		
Function unknown	VOG00542	hypothetical protein		
Function unknown	VOG00543	hypothetical protein		
Function unknown	VOG00544	hypothetical protein		
Function unknown	VOG00545	hypothetical protein		
Virus protein with function beneficial for the host | Virus replication	VOG00546	Serine recombinase gin		GIN_BPD10
Function unknown	VOG00547	AAA ATPase		
Function unknown	VOG00548	hypothetical protein		
Function unknown	VOG00549	hypothetical protein		
Function unknown	VOG00550	Uncharacterized protein R907		YR907_MIMIV
Function unknown	VOG00551	hypothetical protein		
Virus protein with function beneficial for the host | Virus protein with function beneficial for the virus	VOG00552	Protein kinase 0.7		PK_BPT7
Function unknown	VOG00553	hypothetical protein		
Virus protein with function beneficial for the host	VOG00554	Photosystem II D2 protein		PSBD_BPSYS
Function unknown	VOG00555	hypothetical protein		
Function unknown	VOG00556	uracil-DNA glycosylase		
Function unknown	VOG00557	Gene 19 protein		VG19_BPMD2
Function unknown	VOG00558	membrane protein EE36		
Function unknown	VOG00559	tail fiber protein		
Function unknown	VOG00560	virion structural protein		
Function unknown	VOG00561	Uncharacterized protein L116		YL116_MIMIV
Function unknown	VOG00562	tail fiber protein		
Function unknown	VOG00563	Uncharacterized 6.7 kDa protein		Y110_NPVOP
Function unknown	VOG00564	MazG-like pyrophosphatase		
Virus protein with function beneficial for the host	VOG00565	Gene product 16.6		GP166_BPPZA
Function unknown	VOG00566	hypothetical protein		
Function unknown	VOG00567	hypothetical protein		
Function unknown	VOG00568	hypothetical protein		
Function unknown	VOG00569	Uncharacterized protein 044R		044R_FRG3G
Function unknown	VOG00570	Uncharacterized protein YqbM		YQBM_BACSU
Function unknown	VOG00571	Uncharacterized protein L15		YL015_MIMIV
Virus protein with function beneficial for the host | Virus replication	VOG00572	RNA-directed RNA polymerase		RDRP_PMVK
