L1	L2	L3	L4	ID	Function	EC
Posttranslational modification, protein turnover, chaperones		MsrB	1L1D	COG0229	Peptide methionine sulfoxide reductase MsrB	
Translation, ribosomal structure and biogenesis	Ribosome 50S subunit	RpmH	6SPB	COG0230	Ribosomal protein L34	
Translation, ribosomal structure and biogenesis	Translation factors	Efp	1UEB	COG0231	Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)	
Nucleotide transport and metabolism		Dgt	6OI7	COG0232	dGTP triphosphohydrolase	
Translation, ribosomal structure and biogenesis		Frr	1DD5	COG0233	Ribosome recycling factor	
Posttranslational modification, protein turnover, chaperones		GroES		COG0234	Co-chaperonin GroES (HSP10)	
Amino acid transport and metabolismCarbohydrate transport and metabolism	Urea cycle	AraD	1FUA	COG0235	5-methylthioribulose/5-deoxyribulose/Fuculose 1-phosphate aldolase (methionine salvage, sugar degradation)	
Lipid transport and metabolism	Fatty acid biosynthesis	AcpP	1ACP	COG0236	Acyl carrier protein	
Coenzyme transport and metabolism	Pantothenate/CoA biosynthesis	CoaE	1JJV	COG0237	Dephospho-CoA kinase	
Translation, ribosomal structure and biogenesis	Ribosome 30S subunit	RpsR	4V4H	COG0238	Ribosomal protein S18	
Cell cycle control, cell division, chromosome partitioningInorganic ion transport and metabolism		CrcB	5A40	COG0239	Fluoride ion exporter CrcB/FEX, affects chromosome condensation	
Energy production and conversion	Isoprenoid biosynthesis	GpsA	1EVY	COG0240	Glycerol-3-phosphate dehydrogenase	
Amino acid transport and metabolism	Histidine biosynthesis	HisB1/GmhB	2GMW	COG0241	Histidinol phosphatase/D-glycero-mannoheptose bisphosphatephosphatase, HAD superfamily	
Translation, ribosomal structure and biogenesis		Def	1BS4	COG0242	Peptide deformylase	
Energy production and conversion		BisC	1EU1	COG0243	Anaerobic selenocysteine-containing dehydrogenase	
Translation, ribosomal structure and biogenesis	Ribosome 50S subunit	RplJ	5IT8	COG0244	Ribosomal protein L10	
Lipid transport and metabolism	Isoprenoid biosynthesis	IspF	1GX1	COG0245	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	
Carbohydrate transport and metabolism		MtlD	1LJ8	COG0246	Mannitol-1-phosphate/altronate dehydrogenases	
Energy production and conversion		GlpC		COG0247	Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF	
Nucleotide transport and metabolismSignal transduction mechanisms		GppA	1T6C	COG0248	Exopolyphosphatase/pppGpp-phosphohydrolase	
Replication, recombination and repair		MutS	1E3M	COG0249	DNA mismatch repair ATPase MutS	
Transcription		NusG	3EWG	COG0250	Transcription termination/antitermination protein NusG	
Defense mechanisms	Pyrimidine degradation	RidA	1J7H	COG0251	Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family	
Translation, ribosomal structure and biogenesisAmino acid transport and metabolism		AnsA	1ZQ1	COG0252	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D	
Amino acid transport and metabolism	Lysine biosynthesis	DapF	1BWZ	COG0253	Diaminopimelate epimerase	
Translation, ribosomal structure and biogenesis	Ribosome 50S subunit	RpmE	1VS6	COG0254	Ribosomal protein L31	
Translation, ribosomal structure and biogenesis	Ribosome 50S subunit	RpmC	1VS6	COG0255	Ribosomal protein L29	
Translation, ribosomal structure and biogenesis	Ribosome 50S subunit	RplR	1VS6	COG0256	Ribosomal protein L18	
Translation, ribosomal structure and biogenesis	Ribosome 50S subunit	RpmJ	1DFE	COG0257	Ribosomal protein L36	
Replication, recombination and repair		ExoIX	3ZDA	COG0258	5'-3' exonuclease Xni/ExoIX (flap endonuclease)	
Coenzyme transport and metabolism	Pyridoxal phosphate biosynthesis	PdxH	1CI0	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase	
Amino acid transport and metabolism		PepB	3H8E	COG0260	Leucyl aminopeptidase	
Translation, ribosomal structure and biogenesis	Ribosome 50S subunit	RplU	1VS6	COG0261	Ribosomal protein L21	
Coenzyme transport and metabolism	Folate biosynthesis	FolA	1DDR	COG0262	Dihydrofolate reductase	
Amino acid transport and metabolism	Proline biosynthesis	ProB	2W21	COG0263	Glutamate 5-kinase	
Translation, ribosomal structure and biogenesis	Translation factors	Tsf	1EFU	COG0264	Translation elongation factor EF-Ts	
Posttranslational modification, protein turnover, chaperones		DegQ	2HGA	COG0265	Periplasmic serine protease, S1-C subfamily, contain C-terminal PDZ domain	
Replication, recombination and repair		Nei	1EE8	COG0266	Formamidopyrimidine-DNA glycosylase	
Translation, ribosomal structure and biogenesis	Ribosome 50S subunit	RpmG	1VS6	COG0267	Ribosomal protein L33	
Translation, ribosomal structure and biogenesis	Ribosome 30S subunit	RpsT	4V4H	COG0268	Ribosomal protein S20	
Carbohydrate transport and metabolism		UlaD	3F4W	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase	
Replication, recombination and repair		Dcm	3LX6	COG0270	DNA-cytosine methylase	
TranscriptionSignal transduction mechanisms		BolA	2DHM	COG0271	DNA-binding global transcriptional regulator BolA, affects cell shape, cell division and biofilm formation	
Replication, recombination and repair		Lig	5TT5	COG0272	NAD-dependent DNA ligase	
Nucleotide transport and metabolism		DeoC	1J2W	COG0274	Deoxyribose-phosphate aldolase	
Translation, ribosomal structure and biogenesis	16S rRNA modification	RmsH	1M6Y	COG0275	16S rRNA C1402 N4-methylase RsmH	
Coenzyme transport and metabolism	Heme biosynthesis	HemH	1AK1	COG0276	Protoheme ferro-lyase (ferrochelatase)	
Energy production and conversion		GlcD	1AHU	COG0277	FAD/FMN-containing lactate dehydrogenase/glycolate oxidase	
Posttranslational modification, protein turnover, chaperones		GrxD	1YKA	COG0278	Glutaredoxin-related protein	
Carbohydrate transport and metabolism		GmhA	1G76	COG0279	Phosphoheptose isomerase	
Energy production and conversion		Pta	1QZT	COG0280	Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase)	
Energy production and conversion	Urea cycle	SfcA	1DO8	COG0281	Malic enzyme	
Energy production and conversion		AckA	3SK3	COG0282	Acetate kinase	
Nucleotide transport and metabolism		Cmk	3R20	COG0283	Cytidylate kinase	
Nucleotide transport and metabolism	Pyrimidine biosynthesis	PyrF	1DBT	COG0284	Orotidine-5'-phosphate decarboxylase	
Coenzyme transport and metabolism	Folate biosynthesis	FolC	1W78	COG0285	Folylpolyglutamate synthase/Dihydropteroate synthase	
Defense mechanisms		HsdM	2AR0	COG0286	Type I restriction-modification system, DNA methylase subunit	
Amino acid transport and metabolism	Aromatic amino acid biosynthesis	TyrA	2F1K	COG0287	Prephenate dehydrogenase	
Inorganic ion transport and metabolism		CynT	1EKJ	COG0288	Carbonic anhydrase	
Amino acid transport and metabolism	Lysine biosynthesis	DapB	1ARZ	COG0289	4-hydroxy-tetrahydrodipicolinate reductase	
Translation, ribosomal structure and biogenesis	Translation factors	InfC	2IFE	COG0290	Translation initiation factor IF-3	
Translation, ribosomal structure and biogenesis	Ribosome 50S subunit	RpmI	1VS6	COG0291	Ribosomal protein L35	
Translation, ribosomal structure and biogenesis	Ribosome 50S subunit	RplT	1VS6	COG0292	Ribosomal protein L20	
Translation, ribosomal structure and biogenesis	23S rRNA modification	RlmE	1EIZ	COG0293	23S rRNA U2552 (ribose-2'-O)-methylase RlmE/FtsJ	
Coenzyme transport and metabolism	Folate biosynthesis	FolP	1AD1	COG0294	Dihydropteroate synthase	
Nucleotide transport and metabolism	Pyrimidine salvage	Cdd	1AF2	COG0295	Cytidine deaminase	
Carbohydrate transport and metabolism		GlgB	4LPC	COG0296	1,4-alpha-glucan branching enzyme	
Carbohydrate transport and metabolism		GlgA	1RZU	COG0297	Glycogen synthase	
Posttranslational modification, protein turnover, chaperones		HypC	2OT2	COG0298	Hydrogenase maturation factor HybG, HypC/HupF family	
Nucleotide transport and metabolism	Purine biosynthesis	PurN	1C2T	COG0299	Folate-dependent phosphoribosylglycinamide formyltransferase PurN	
General function prediction only		YqjQ		COG0300	Short-chain dehydrogenase	
Coenzyme transport and metabolismTranslation, ribosomal structure and biogenesis	Thiamine biosynthesis	ThiI	1VBK	COG0301	Adenylyl- and sulfurtransferase ThiI (thiamine and tRNA 4-thiouridine biosynthesis)	
Coenzyme transport and metabolism	Folate biosynthesis	FolE	1A8R	COG0302	GTP cyclohydrolase I	
Coenzyme transport and metabolism	Molybdopterin biosynthesis	MoeA	2NQU	COG0303	Molybdopterin Mo-transferase (molybdopterin biosynthesis)	
Lipid transport and metabolismSecondary metabolites biosynthesis, transport and catabolism	Fatty acid biosynthesis	FabB	2UV8	COG0304	3-oxoacyl-(acyl-carrier-protein) synthase	
Replication, recombination and repair		DnaB	1B79	COG0305	Replicative DNA helicase	
Inorganic ion transport and metabolism		PitA		COG0306	Phosphate/sulfate permease	
Coenzyme transport and metabolism	Riboflavin/FAD biosynthesis	RibC	1I8D	COG0307	Riboflavin synthase alpha chain	
Amino acid transport and metabolism		PepN	6ATK	COG0308	Aminopeptidase N, contains DUF3458 domain	
Posttranslational modification, protein turnover, chaperones		HypE	2I6R	COG0309	Carbamoyl dehydratase HypE (hydrogenase maturation factor)	
Inorganic ion transport and metabolism		CbiM	4M58	COG0310	ABC-type Co2+ transport system, permease component	
Coenzyme transport and metabolism	Pyridoxal phosphate biosynthesis	PdxT	2NV0	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT (glutamine amidotransferase)	
General function prediction only		TldD	3TV9	COG0312	Zn-dependent protease PmbA/TldA or its inactivated homolog	
Translation, ribosomal structure and biogenesis	16S rRNA modification	RsmI	3KWP	COG0313	16S rRNA C1402 (ribose-2'-O) methylase RsmI	
Coenzyme transport and metabolism	Molybdopterin biosynthesis	MoaE	1FM0	COG0314	Molybdopterin synthase catalytic subunit MoaE	
Coenzyme transport and metabolism	Molybdopterin biosynthesis	MoaC	1EKR	COG0315	Molybdenum cofactor biosynthesis enzyme MoaC	
Posttranslational modification, protein turnover, chaperones		IscA	1R94	COG0316	Fe-S cluster assembly iron-binding protein IscA	
Signal transduction mechanismsTranscription		SpoT	1TDJ	COG0317	(p)ppGpp synthase/hydrolase, HD superfamily	
Lipid transport and metabolism	Menaquinone biosynthesis	MenE/FadK	5EY9	COG0318	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	
Translation, ribosomal structure and biogenesis	16S rRNA modification	YbeY	1XM5	COG0319	ssRNA-specific RNase YbeY, 16S rRNA maturation enzyme	
Coenzyme transport and metabolism	Lipoate biosynthesis	LipA	4U0O	COG0320	Lipoate synthase	
Coenzyme transport and metabolism	Lipoate biosynthesis	LipB	2QHT	COG0321	Lipoate-protein ligase B	
Replication, recombination and repair		UvrC	2NRT	COG0322	Excinuclease UvrABC, nuclease subunit	
Replication, recombination and repair		MutL	1B62	COG0323	DNA mismatch repair ATPase MutL	
Translation, ribosomal structure and biogenesis	tRNA modification	MiaA	2ZM5	COG0324	tRNA A37 N6-isopentenylltransferase MiaA	
Coenzyme transport and metabolism		YggS	3SY1	COG0325	Pyridoxal 5'-phosphate homeostasis protein YggS, UPF0001 family	
Posttranslational modification, protein turnover, chaperones		HtpG	1Y4S	COG0326	Molecular chaperone, HSP90 family	
Coenzyme transport and metabolism	Folate biosynthesis	NIF3	3SY1	COG0327	Putative GTP cyclohydrolase 1 type 2, NIF3 family	
Replication, recombination and repair		RnhA	1LAW	COG0328	Ribonuclease HI	
Amino acid transport and metabolismCell wall/membrane/envelope biogenesis	Lysine biosynthesis	DapA	2R91	COG0329	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase	
Posttranslational modification, protein turnover, chaperones		HflC		COG0330	Regulator of protease activity HflC, stomatin/prohibitin superfamily	
Lipid transport and metabolism	Fatty acid biosynthesis	FabD	1YXC	COG0331	Malonyl CoA-acyl carrier protein transacylase	
Lipid transport and metabolism	Fatty acid biosynthesis	FabH	1UB7	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase III	
Translation, ribosomal structure and biogenesis	Ribosome 50S subunit	RpmF	1VS6	COG0333	Ribosomal protein L32	
Amino acid transport and metabolism	Glutamine biosynthesis	GdhA	1B3B	COG0334	Glutamate dehydrogenase/leucine dehydrogenase	
Translation, ribosomal structure and biogenesis	Ribosome 50S subunit	RplS	1VS6	COG0335	Ribosomal protein L19	
Translation, ribosomal structure and biogenesis	tRNA modification	TrmD	1P9P	COG0336	tRNA G37 N-methylase TrmD	
Amino acid transport and metabolism	Aromatic amino acid biosynthesis	AroB	3ZOK	COG0337	3-dehydroquinate synthetase	
Replication, recombination and repair		Dam	4GOL	COG0338	DNA-adenine methylase	
Posttranslational modification, protein turnover, chaperones		Dcp	5L43	COG0339	Zn-dependent oligopeptidase, M3 family	
Coenzyme transport and metabolism	Biotin biosynthesis	BirA2	1BIA	COG0340	Biotin-(acetyl-CoA carboxylase) ligase	
Intracellular trafficking, secretion, and vesicular transport		SecF	2FYH	COG0341	Preprotein translocase subunit SecF	
Intracellular trafficking, secretion, and vesicular transport		SecD	3AQP	COG0342	Preprotein translocase subunit SecD	
Translation, ribosomal structure and biogenesis	tRNA modification	Tgt	1XW8	COG0343	Queuine/archaeosine tRNA-ribosyltransferase	
Lipid transport and metabolism		PlsY	5XJ5	COG0344	Phospholipid biosynthesis protein PlsY, probable glycerol-3-phosphate acyltransferase	
Amino acid transport and metabolism	Proline biosynthesis	ProC	3GT0	COG0345	Pyrroline-5-carboxylate reductase	
Secondary metabolites biosynthesis, transport and catabolism		GloA	3R4Q	COG0346	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family	
Signal transduction mechanismsAmino acid transport and metabolism		GlnK	2GW8	COG0347	Nitrogen regulatory protein PII	
Energy production and conversion		NapH		COG0348	Polyferredoxin NapH	
Translation, ribosomal structure and biogenesis		Rnd	5C0Y	COG0349	Ribonuclease D	
Replication, recombination and repair		AdaB	6RLA	COG0350	DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase)	
Coenzyme transport and metabolism	Thiamine biosynthesis	ThiD	1Y9X	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	
Coenzyme transport and metabolism	Thiamine biosynthesis	ThiE	1G4T	COG0352	Thiamine monophosphate synthase	
Replication, recombination and repair		RecR	2JGR	COG0353	Recombinational DNA repair protein RecR	
Posttranslational modification, protein turnover, chaperones		YgfZ	1NRK	COG0354	Folate-binding protein YgfZ, synthesis and repair of Fe-S clusters	
Energy production and conversion	FoF1-type ATP synthase	AtpC	3OAA	COG0355	FoF1-type ATP synthase, epsilon subunit	
Energy production and conversion	FoF1-type ATP synthase	AtpB		COG0356	FoF1-type ATP synthase, membrane subunit a	
Translation, ribosomal structure and biogenesis	16S rRNA modification	RsmG	1XDZ	COG0357	16S rRNA G527 N7-methylase RsmG (former glucose-inhibited division protein B)	
Replication, recombination and repair		DnaG	3B39	COG0358	DNA primase (bacterial type)	
Translation, ribosomal structure and biogenesis	Ribosome 50S subunit	RplI	1VS6	COG0359	Ribosomal protein L9	
Translation, ribosomal structure and biogenesis	Ribosome 30S subunit	RpsF	4V4H	COG0360	Ribosomal protein S6	
Translation, ribosomal structure and biogenesis	Translation factors	InfA	5FIM	COG0361	Translation initiation factor IF-1	
Carbohydrate transport and metabolism	Pentose phosphate pathway	Gnd	2ZYA	COG0362	6-phosphogluconate dehydrogenase	
Carbohydrate transport and metabolism	Pentose phosphate pathway	NagB	2RI0	COG0363	6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase	
Carbohydrate transport and metabolism	Pentose phosphate pathway	Zwf	5B7W	COG0364	Glucose-6-phosphate 1-dehydrogenase	
Lipid transport and metabolism		Acs	4B2O	COG0365	Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase	
Carbohydrate transport and metabolism		AmyA	2P67	COG0366	Glycosidase/amylase (phosphorylase)	
Amino acid transport and metabolism	Asparagine biosynthesis	AsnB	2ETD	COG0367	Asparagine synthetase B (glutamine-hydrolyzing)	
Coenzyme transport and metabolism	Cobalamine/B12 biosynthesis	CobS		COG0368	Cobalamin synthase CobS (adenosylcobinamide-GDP ribazoletransferase)	
Nucleotide transport and metabolismInorganic ion transport and metabolism	Cysteine biosynthesis	CysJ	1YKG	COG0369	Flavoprotein (flavin reductase) subunit CysJ of sulfite and N-hydroxylaminopurine reductases	
Inorganic ion transport and metabolism		FeoB	3TAH	COG0370	Fe2+ transporter FeoB	
Energy production and conversion	Isoprenoid biosynthesis	GldA	3S99	COG0371	Glycerol dehydrogenase or related enzyme, iron-containing ADH family	
Energy production and conversion	TCA cycle	GltA	3TQG	COG0372	Citrate synthase	
Coenzyme transport and metabolism	Heme biosynthesis	HemA	2XOE	COG0373	Glutamyl-tRNA reductase	
Energy production and conversion		HyaB	6FPI	COG0374	Ni,Fe-hydrogenase I large subunit	
Posttranslational modification, protein turnover, chaperones		HybF	3A43	COG0375	Hydrogenase maturation factor HypA/HybF, metallochaperone involved in Ni insertion	
Inorganic ion transport and metabolism		KatG	5SX1	COG0376	Catalase (peroxidase I)	
Energy production and conversion	NADH dehydrogenase	NuoB	2FUG	COG0377	NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase	
Posttranslational modification, protein turnover, chaperones		HypB	2HF8	COG0378	Hydrogenase/urease maturation factor HypB, Ni2+-binding GTPase	
Coenzyme transport and metabolism	NAD biosynthesis	NadA	4HHE	COG0379	Quinolinate synthase	
Carbohydrate transport and metabolism		OtsA	1UQT	COG0380	Trehalose-6-phosphate synthase, GT20 family	
Cell wall/membrane/envelope biogenesis		WecB	1F6D	COG0381	UDP-N-acetylglucosamine 2-epimerase	
Coenzyme transport and metabolism	Ubiquinone biosynthesis	UbiA	4OD4	COG0382	4-hydroxybenzoate polyprenyltransferase	
Carbohydrate transport and metabolism		MngB	5KBP	COG0383	Alpha-mannosidase	
General function prediction only		YHI9	1SDJ	COG0384	Predicted epimerase YddE/YHI9, PhzF superfamily	
